999,ООО Скартел,Республика Калмыкия,6700000 - 6702999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,6680000 - 6699999
999,ООО Скартел,г. Москва * Московская область,6660000 - 6679999
999,ПАО МегаФон,г. Москва и Московская область,6605000 - 6659999
999,ООО Скартел,Республика Адыгея,6600000 - 6604999
999,ПАО МегаФон,г. Москва и Московская область,6580000 - 6599999
999,ООО Скартел,г. Сочи|Краснодарский край,6500000 - 6579999
999,ООО Скартел,Республика Адыгея,6498000 - 6499999
999,ООО Скартел,Кемеровская обл.,6479000 - 6497999
999,ООО Скартел,Оренбургская обл.,6478000 - 6478999
999,ООО Скартел,Астраханская обл.,6450000 - 6477999
999,ООО Скартел,Иркутская обл.,6400000 - 6449999
999,ООО Скартел,Краснодарский край,6300000 - 6399999
999,ООО Скартел,Волгоградская обл.,6240000 - 6299999
999,ООО Скартел,Республика Башкортостан,6221000 - 6239999
999,ООО Скартел,Тамбовская обл.,6215000 - 6220999
999,ООО Скартел,Брянская обл.,6204000 - 6214999
999,ООО Скартел,Томская обл.,6188000 - 6203999
999,ООО Скартел,Приморский край,6138000 - 6187999
999,ООО Скартел,Владимирская обл.,6122000 - 6137999
999,ООО Скартел,Пензенская обл.,6103000 - 6121999
999,ООО Скартел,Волгоградская обл.,6100000 - 6102999
999,ООО Скартел,Республика Марий Эл,6092000 - 6099999
999,ООО Скартел,Курская обл.,6053000 - 6091999
999,ООО Скартел,Орловская обл.,6040000 - 6052999
999,ООО Скартел,Республика Бурятия,6030000 - 6039999
999,ООО Скартел,Орловская обл.,6015000 - 6029999
999,ООО Скартел,Астраханская обл.,6000000 - 6014999
999,ПАО МегаФон,г. Москва и Московская область,5903000 - 5999999
999,ООО Скартел,Ямало-Ненецкий АО,5900000 - 5902999
999,ООО Скартел,Челябинская обл.,5810000 - 5899999
999,ПАО МегаФон,г. Москва и Московская область,5717000 - 5809999
999,ООО Скартел,Ханты-Мансийский АО - Югра,5710000 - 5716999
999,ООО Скартел,Челябинская обл.,5700000 - 5709999
999,ООО Скартел,Свердловская обл.,5590000 - 5699999
999,ПАО МегаФон,г. Москва и Московская область,5503000 - 5589999
999,ООО Скартел,Ханты-Мансийский АО - Югра,5500000 - 5502999
999,ООО Скартел,Тюменская обл.,5473000 - 5499999
999,ПАО МегаФон,г. Москва и Московская область,5403000 - 5472999
999,ООО Скартел,Тюменская обл.,5400000 - 5402999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5398000 - 5399999
999,ООО Скартел,Саратовская обл.,5385000 - 5397999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5340000 - 5384999
999,ООО Скартел,Республика Дагестан,5330000 - 5339999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5307000 - 5329999
999,ООО Скартел,Липецкая обл.,5297000 - 5306999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5234000 - 5296999
999,ООО Скартел,Владимирская обл.,5220000 - 5233999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5194000 - 5219999
999,ООО Скартел,Белгородская обл.,5184000 - 5193999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5177000 - 5183999
999,ООО Скартел,Владимирская обл.,5167000 - 5176999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5121000 - 5166999
999,ООО Скартел,Костромская обл.,5114000 - 5120999
999,ООО Скартел,Ханты-Мансийский АО - Югра,5107000 - 5113999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,5103000 - 5106999
999,ООО Скартел,Свердловская обл.,5100000 - 5102999
999,ООО Скартел,Курганская обл.,5098000 - 5099999
999,ПАО МегаФон,г. Москва и Московская область,5003000 - 5097999
999,ООО Скартел,Курганская обл.,5000000 - 5002999
999,ООО Скартел,Томская обл.,4995000 - 4999999
999,ПАО МегаФон,Свердловская обл.,4975000 - 4994999
999,ПАО МегаФон,Ставропольский край,4960000 - 4974999
999,ООО Скартел,Томская обл.,4950000 - 4959999
999,ПАО МегаФон,Ростовская обл.,4945000 - 4949999
999,ПАО МегаФон,Тамбовская обл.,4935000 - 4944999
999,ПАО МегаФон,Республика Ингушетия,4927000 - 4934999
999,ПАО МегаФон,Кабардино-Балкарская Республика,4919000 - 4926999
999,ПАО МегаФон,Республика Северная Осетия - Алания,4911000 - 4918999
999,ПАО МегаФон,Карачаево-Черкесская Республика,4903000 - 4910999
999,ООО Скартел,Республика Хакасия,4900000 - 4902999
999,ПАО МегаФон,Ставропольский край,4898000 - 4899999
999,ПАО МегаФон,Республика Адыгея,4895000 - 4897999
999,ПАО МегаФон,Ставропольский край,4860000 - 4894999
999,ПАО МегаФон,Ростовская обл.,4853000 - 4859999
999,ООО Скартел,Республика Тыва,4850000 - 4852999
999,ООО Скартел,Республика Бурятия,4848000 - 4849999
999,ПАО МегаФон,Ростовская обл.,4803000 - 4847999
999,ООО Скартел,Республика Бурятия,4800000 - 4802999
999,ПАО МегаФон,Республика Северная Осетия - Алания,4790000 - 4799999
999,ПАО МегаФон,Республика Ингушетия,4785000 - 4789999
999,ПАО МегаФон,Республика Дагестан,4770000 - 4784999
999,ООО Скартел,Алтайский край,4753000 - 4769999
999,ООО Скартел,Республика Алтай,4750000 - 4752999
999,ПАО МегаФон,Кабардино-Балкарская Республика,4740000 - 4749999
999,ПАО МегаФон,Липецкая обл.,4730000 - 4739999
999,ПАО МегаФон,Ростовская обл.,4710000 - 4729999
999,ООО Скартел,Омская обл.,4700000 - 4709999
999,ООО Скартел,Новосибирская обл.,4620000 - 4699999
999,ПАО МегаФон,Краснодарский край,4610000 - 4619999
999,ООО Скартел,Омская обл.,4530000 - 4609999
999,ООО Скартел,Новосибирская обл.,4500000 - 4529999
999,ПАО МегаФон,Ростовская обл.,4497000 - 4499999
999,ПАО МегаФон,Республика Адыгея,4492000 - 4496999
999,ООО Скартел,Красноярский край,4450000 - 4491999
999,ООО Интернод,г. Москва и Московская область,4440000 - 4449999
999,ООО Скартел,Красноярский край,4400000 - 4439999
999,ПАО МегаФон,Ростовская обл.,4380000 - 4399999
999,ПАО МегаФон,Краснодарский край,4365000 - 4379999
999,ПАО МегаФон,Воронежская обл.,4353000 - 4364999
999,ООО Скартел,Красноярский край,4350000 - 4352999
999,ПАО МегаФон,Карачаево-Черкесская Республика,4345000 - 4349999
999,ПАО МегаФон,Чеченская Республика,4340000 - 4344999
999,ПАО МегаФон,Ростовская обл.,4320000 - 4339999
999,ООО Скартел,Кемеровская обл.,4300000 - 4319999
999,ПАО МегаФон,Краснодарский край,4240000 - 4299999
999,ПАО МегаФон,Чеченская Республика,4237000 - 4239999
999,ООО Скартел,Иркутская обл.,4220000 - 4236999
999,ПАО МегаФон,Белгородская обл.,4210000 - 4219999
999,ООО Скартел,Иркутская обл.,4200000 - 4209999
999,ПАО МегаФон,Республика Дагестан,4185000 - 4199999
999,ПАО МегаФон,Краснодарский край,4110000 - 4184999
999,ООО Скартел,Забайкальский край,4100000 - 4109999
999,ПАО МегаФон,Липецкая обл.,4085000 - 4099999
999,ПАО МегаФон,Белгородская обл.,4070000 - 4084999
999,ПАО МегаФон,Тамбовская обл.,4060000 - 4069999
999,ПАО МегаФон,Воронежская обл.,4010000 - 4059999
999,ПАО МегаФон,Чеченская Республика,4003000 - 4009999
999,ООО Скартел,Алтайский край,4000000 - 4002999
999,ООО Скартел,Чеченская Республика,3980000 - 3999999
999,ПАО МегаФон,г. Москва и Московская область,3953000 - 3979999
999,ПАО МегаФон,Нижегородская обл.,3903000 - 3952999
999,ПАО МегаФон,Тульская обл.,3893000 - 3902999
999,ПАО МегаФон,Рязанская обл.,3883000 - 3892999
999,ПАО МегаФон,Орловская обл.,3873000 - 3882999
999,ПАО МегаФон,Курская обл.,3863000 - 3872999
999,ПАО МегаФон,Калужская обл.,3853000 - 3862999
999,ПАО МегаФон,Владимирская обл.,3843000 - 3852999
999,ПАО МегаФон,Брянская обл.,3833000 - 3842999
999,ПАО МегаФон,Орловская обл.,3823000 - 3832999
999,ПАО МегаФон,Курская обл.,3813000 - 3822999
999,ПАО МегаФон,Калужская обл.,3803000 - 3812999
999,ООО Скартел,Чеченская Республика,3800000 - 3802999
999,ООО Скартел,Ставропольский край,3785000 - 3799999
999,ПАО МегаФон,Владимирская обл.,3775000 - 3784999
999,ПАО МегаФон,Брянская обл.,3765000 - 3774999
999,ПАО МегаФон,Нижегородская обл.,3750000 - 3764999
999,ПАО МегаФон,Тульская обл.,3740000 - 3749999
999,ПАО МегаФон,Рязанская обл.,3730000 - 3739999
999,ПАО МегаФон,Челябинская обл.,3710000 - 3729999
999,ПАО МегаФон,Ханты - Мансийский - Югра АО,3700000 - 3709999
999,ПАО МегаФон,Свердловская обл.,3680000 - 3699999
999,ПАО МегаФон,Курганская обл.,3670000 - 3679999
999,ПАО МегаФон,Тюменская обл.,3650000 - 3669999
999,ПАО МегаФон,Пермский край,3635000 - 3649999
999,ПАО МегаФон,Республика Коми,3630000 - 3634999
999,ПАО МегаФон,Удмуртская Республика,3620000 - 3629999
999,ПАО МегаФон,Кировская обл.,3610000 - 3619999
999,ПАО МегаФон,Ямало-Ненецкий АО,3605000 - 3609999
999,ПАО МегаФон,г. Москва и Московская область,3603000 - 3604999
999,ООО Скартел,Ставропольский край,3600000 - 3602999
999,ООО Скартел,Республика Северная Осетия - Алания,3598000 - 3599999
999,ПАО МегаФон,г. Москва и Московская область,3503000 - 3597999
999,ООО Скартел,Республика Северная Осетия - Алания,3500000 - 3502999
